Term,Definition
API ,Application Program Interface
ATM,Atmospheric Type (Namespace)
BPEL,Business Process Execution Language
COTS,Commercial Off The Shelf
CQL,Common Query Language
CRS,Coordinate Reference System
CSW,Catalogue Service for Web
DC,Dublin Core
DCMI,Dublin Core Metadata Initiative
DCP,Distributed Computing Platform
ebRIM,ebXML Registry Information Model
EO,Earth Observation
EOP,Basic Earth Observation Product Type (Namespace)
GML,Geography Markup Language
HMA,Heterogeneous Missions Accessibility
HTTP,HyperText Transfer Protocol
ISO,International Organization for Standardization
OGC,Open Geospatial Consortium
OPT,Optical Type (Namespace)
PHR,Pleiades High Resolution Type (Namespace)
SAR,Synthetic Aperture Radar Type (Namespace)
SOAP,Simple Object Access Protocol
SQL,Structured Query Language
UML,Unified Modeling Language
URI,Uniform Resource Identifier
URL,Uniform Resource Locator
URN,Uniform Resource Name
UTF-8,Unicode Transformation Format-8
WSDL,Web Service Definition Language
W3C,World Wide Web Consortium
XML,eXtensible Markup Language
GDA,Geospatial Data Act
NGDA,National Geospatial Data Asset
GIS,Geospatial Information System
FGDC,Federal Geographic Data Committee
GIS,Geospatial Information System
FGDC,Federal Geographic Data Committee
